date,drive_count,drive_failures
2019-09-24,115395,3
2019-09-25,115396,5
2019-09-26,115394,4
2019-09-27,115395,10
2019-09-28,115257,5
2019-09-29,115260,0
2019-09-30,115150,0
2019-10-01,115259,9
2019-10-02,115258,18
2019-10-03,115255,8
2019-10-04,115257,6
2019-10-05,115259,3
2019-10-06,115259,6
2019-10-07,115256,6
2019-10-08,115259,6
2019-10-09,115258,9
2019-10-10,115258,10
2019-10-11,116479,10
2019-10-12,116477,4
2019-10-13,116477,7
2019-10-14,116414,16
2019-10-15,116472,0
2019-10-16,116472,13
2019-10-17,116478,5
2019-10-18,116479,3
2019-10-19,116480,4
2019-10-20,116477,2
2019-10-21,116478,12
2019-10-22,116478,6
2019-10-23,116480,11
2019-10-24,116480,6
2019-10-25,116479,6
2019-10-26,116418,5
2019-10-27,116413,6
2019-10-28,116415,8
2019-10-29,117639,8
2019-10-30,118918,7
2019-10-31,118918,10
2019-11-01,118919,14
2019-11-02,118918,6
2019-11-03,118919,12
2019-11-04,118917,16
2019-11-05,55980,5
2019-11-06,118918,8
2019-11-07,118920,7
2019-11-08,118919,8
2019-11-09,118920,14
2019-11-10,118918,11
2019-11-11,120135,12
2019-11-12,120137,6
2019-11-13,121297,9
2019-11-14,121358,11
2019-11-15,121358,15
2019-11-16,121356,11
2019-11-17,121293,12
2019-11-18,121293,16
2019-11-19,121294,12
2019-11-20,121358,16
2019-11-21,121359,6
2019-11-22,121352,15
2019-11-23,121359,5
2019-11-24,121360,7
2019-11-25,121360,10
2019-11-26,121352,7
2019-11-27,122580,8
2019-11-28,122578,1
2019-11-29,122577,0
2019-11-30,122578,13
2019-12-01,122579,8
2019-12-02,122580,12
2019-12-03,122578,1
2019-12-04,122580,7
2019-12-05,122580,7
2019-12-06,122580,6
2019-12-07,122580,6
2019-12-08,122579,5
2019-12-09,122518,3
2019-12-10,122580,8
2019-12-11,122579,2
2019-12-12,122575,4
2019-12-13,122579,10
2019-12-14,122580,6
2019-12-15,122575,5
2019-12-16,122578,7
2019-12-17,123800,2
2019-12-18,123800,7
2019-12-19,123794,4
2019-12-20,123800,7
2019-12-21,125014,6
2019-12-22,125018,1
2019-12-23,125020,4
2019-12-24,125020,4
2019-12-25,125020,1
2019-12-26,125017,4
2019-12-27,124958,1
2019-12-28,124957,5
2019-12-29,124958,1
2019-12-30,124896,9
2019-12-31,124956,0
2020-01-01,124955,6
2020-01-02,124902,4
2020-01-03,124959,10
2020-01-04,125019,3
2020-01-05,125020,6
2020-01-06,125019,13
2020-01-07,125018,5
2020-01-08,125020,5
2020-01-09,125020,4
2020-01-10,125020,6
2020-01-11,125020,1
2020-01-12,125020,6
2020-01-13,125019,11
2020-01-14,125017,5
2020-01-15,125020,4
2020-01-16,125020,4
2020-01-17,125019,5
2020-01-18,125019,5
2020-01-19,125019,4
2020-01-20,124972,11
2020-01-21,125462,4
2020-01-22,125506,4
2020-01-23,126239,8
2020-01-24,126239,3
2020-01-25,126239,6
2020-01-26,126240,6
2020-01-27,126240,9
2020-01-28,126240,6
2020-01-29,126239,4
2020-01-30,126238,3
2020-01-31,126240,4
2020-02-01,126240,1
2020-02-02,126220,6
2020-02-03,126239,5
2020-02-04,126240,9
2020-02-05,127460,6
2020-02-06,127460,4
2020-02-07,127454,6
2020-02-08,127460,5
2020-02-09,127460,5
2020-02-10,127459,6
2020-02-11,127460,5
2020-02-12,127459,2
2020-02-13,127460,4
2020-02-14,127459,5
2020-02-15,126238,6
2020-02-16,126240,5
2020-02-17,126234,2
2020-02-18,126232,4
2020-02-19,126240,2
2020-02-20,127460,5
2020-02-21,127458,5
2020-02-22,127459,2
2020-02-23,127459,5
2020-02-24,127459,2
2020-02-25,127460,3
2020-02-26,127460,3
2020-02-27,127460,5
2020-02-28,127460,3
2020-02-29,127459,0
2020-03-01,127460,6
2020-03-02,127457,7
2020-03-03,128679,6
2020-03-04,128678,1
2020-03-05,128680,4
2020-03-06,128680,4
2020-03-07,128679,0
2020-03-08,128680,1
2020-03-09,128679,8
2020-03-10,128679,6
2020-03-11,128677,3
2020-03-12,128679,3
2020-03-13,128680,2
2020-03-14,128680,5
2020-03-15,128677,0
2020-03-16,128679,5
2020-03-17,129899,6
2020-03-18,129897,6
2020-03-19,131058,2
2020-03-20,131118,4
2020-03-21,131120,3
2020-03-22,131119,2
2020-03-23,131059,4
2020-03-24,132338,1
2020-03-25,132340,2
2020-03-26,132311,10
2020-03-27,132340,7
2020-03-28,132339,3
2020-03-29,132340,1
2020-03-30,132340,1
2020-03-31,132339,0
2020-04-01,132340,3
2020-04-02,132339,3
2020-04-03,132339,5
2020-04-04,132339,10
2020-04-05,132340,1
2020-04-06,132340,7
2020-04-07,132339,3
2020-04-08,132339,3
2020-04-09,132339,5
2020-04-10,133560,1
2020-04-11,133560,8
2020-04-12,133560,2
2020-04-13,133558,1
2020-04-14,133560,4
2020-04-15,133560,3
2020-04-16,133560,1
2020-04-17,133560,8
2020-04-18,133559,3
2020-04-19,133559,3
2020-04-20,133528,3
2020-04-21,134750,3
2020-04-22,135257,5
2020-04-23,135259,4
2020-04-24,135258,4
2020-04-25,135259,2
2020-04-26,135259,2
2020-04-27,135258,5
2020-04-28,136476,2
2020-04-29,136479,4
2020-04-30,136479,1
2020-05-01,136540,3
2020-05-02,136536,2
2020-05-03,136539,4
2020-05-04,136538,4
2020-05-05,136540,8
2020-05-06,136537,7
2020-05-07,136355,5
2020-05-08,136356,2
2020-05-09,136352,5
2020-05-10,136356,4
2020-05-11,136357,4
2020-05-12,136357,3
2020-05-13,136479,5
2020-05-14,136539,6
2020-05-15,136412,3
2020-05-16,136957,0
2020-05-17,136958,2
2020-05-18,136956,8
2020-05-19,136956,7
2020-05-20,138176,4
2020-05-21,138178,6
2020-05-22,139337,5
2020-05-23,139275,2
2020-05-24,139276,3
2020-05-25,139276,1
2020-05-26,139273,7
2020-05-27,139273,3
2020-05-28,139274,1
2020-05-29,139396,3
2020-05-30,139334,3
2020-05-31,139331,1
2020-06-01,139286,8
2020-06-02,139334,2
2020-06-03,139456,1
2020-06-04,139518,4
2020-06-05,139396,3
2020-06-06,139392,2
2020-06-07,139333,0
2020-06-08,139395,7
2020-06-09,138457,1
2020-06-10,140555,3
2020-06-11,140492,3
2020-06-12,140371,5
2020-06-13,140311,2
2020-06-14,140313,0
2020-06-15,140283,2
2020-06-16,140313,6
2020-06-17,140496,2
2020-06-18,140372,1
2020-06-19,140311,0
2020-06-20,141408,4
2020-06-21,141345,3
2020-06-22,141347,1
2020-06-23,141410,4
2020-06-24,141653,3
2020-06-25,141714,4
2020-06-26,141654,5
2020-06-27,142813,3
2020-06-28,142628,2
2020-06-29,142630,3
2020-06-30,142630,0
2020-07-01,142507,2
2020-07-02,142383,4
2020-07-03,142383,4
2020-07-04,142377,2
2020-07-05,142329,5
2020-07-06,142314,4
2020-07-07,143726,7
2020-07-08,143970,2
2020-07-09,144030,6
2020-07-10,144147,5
2020-07-11,144063,5
2020-07-12,143756,4
2020-07-13,143751,7
2020-07-14,143754,6
2020-07-15,143692,5
2020-07-16,143547,7
2020-07-17,143576,4
2020-07-18,143630,5
2020-07-19,143632,1
2020-07-20,143600,5
2020-07-21,143723,3
2020-07-22,143788,3
2020-07-23,143666,2
2020-07-24,143605,3
2020-07-25,143665,7
2020-07-26,143665,1
2020-07-27,143667,7
2020-07-28,143826,2
2020-07-29,145313,5
2020-07-30,145435,9
2020-07-31,145190,3
2020-08-01,145070,1
2020-08-02,144857,3
2020-08-03,144887,4
2020-08-04,144931,6
2020-08-05,145109,8
2020-08-06,144922,4
2020-08-07,146085,0
2020-08-08,146084,3
2020-08-09,146086,5
2020-08-10,146084,4
2020-08-11,146157,5
2020-08-12,146400,3
2020-08-13,146704,4
2020-08-14,148058,0
2020-08-15,147936,6
2020-08-16,147509,3
2020-08-17,147488,3
2020-08-18,147510,2
2020-08-19,147329,5
2020-08-20,148222,8
2020-08-21,148400,3
